"Initial_Coral","Fishing_Pressure","Final_Coral","betaT","betaM"
0.44,0.04,0.688740848907016,0.8,0.3
0.46,0.04,0.688740848907016,0.8,0.3
0.48,0.04,0.688740848907016,0.8,0.3
0.5,0.04,0.688740848907016,0.8,0.3
0.52,0.04,0.688740848907016,0.8,0.3
0.54,0.04,0.688740848907016,0.8,0.3
0.56,0.04,0.688740848907016,0.8,0.3
0.58,0.04,0.688740848907016,0.8,0.3
0.6,0.04,0.688740848907016,0.8,0.3
0.62,0.04,0.688740848907016,0.8,0.3
0.64,0.04,0.688740848907016,0.8,0.3
0.66,0.04,0.688740848907016,0.8,0.3
0.68,0.04,0.688740848907016,0.8,0.3
0.7,0.04,0.688740848907016,0.8,0.3
0.72,0.04,0.688740848907016,0.8,0.3
0.74,0.04,0.688740848907021,0.8,0.3
0.76,0.04,0.688740848907021,0.8,0.3
0.78,0.04,0.688740848907021,0.8,0.3
0.8,0.04,0.688740848907021,0.8,0.3
0.82,0.04,0.688740848907021,0.8,0.3
0.84,0.04,0.688740848907021,0.8,0.3
0,0.06,0.687406279743393,0.8,0.3
0.02,0.06,0.687406279743393,0.8,0.3
0.04,0.06,0.687406279743393,0.8,0.3
0.06,0.06,0.687406279743393,0.8,0.3
0.08,0.06,0.687406279743393,0.8,0.3
0.1,0.06,0.687406279743393,0.8,0.3
0.12,0.06,0.687406279743393,0.8,0.3
0.14,0.06,0.687406279743393,0.8,0.3
0.16,0.06,0.687406279743393,0.8,0.3
0.18,0.06,0.687406279743393,0.8,0.3
0.2,0.06,0.687406279743393,0.8,0.3
0.22,0.06,0.687406279743393,0.8,0.3
0.24,0.06,0.687406279743393,0.8,0.3
0.26,0.06,0.687406279743393,0.8,0.3
0.28,0.06,0.687406279743393,0.8,0.3
0.3,0.06,0.687406279743393,0.8,0.3
0.32,0.06,0.687406279743393,0.8,0.3
0.34,0.06,0.687406279743393,0.8,0.3
0.36,0.06,0.687406279743393,0.8,0.3
0.38,0.06,0.687406279743393,0.8,0.3
0.4,0.06,0.687406279743393,0.8,0.3
0.42,0.06,0.687406279743393,0.8,0.3
0.44,0.06,0.687406279743393,0.8,0.3
0.46,0.06,0.687406279743393,0.8,0.3
0.48,0.06,0.687406279743393,0.8,0.3
0.5,0.06,0.687406279743393,0.8,0.3
0.52,0.06,0.687406279743393,0.8,0.3
0.54,0.06,0.687406279743393,0.8,0.3
0.56,0.06,0.687406279743393,0.8,0.3
0.58,0.06,0.687406279743393,0.8,0.3
0.6,0.06,0.687406279743393,0.8,0.3
0.62,0.06,0.687406279743393,0.8,0.3
0.64,0.06,0.687406279743393,0.8,0.3
0.66,0.06,0.687406279743393,0.8,0.3
0.68,0.06,0.687406279743393,0.8,0.3
0.7,0.06,0.687406279743393,0.8,0.3
0.72,0.06,0.687406279743393,0.8,0.3
0.74,0.06,0.687406279743398,0.8,0.3
0.76,0.06,0.687406279743398,0.8,0.3
0.78,0.06,0.687406279743398,0.8,0.3
0.8,0.06,0.687406279743398,0.8,0.3
0.82,0.06,0.687406279743398,0.8,0.3
0.84,0.06,0.687406279743398,0.8,0.3
0,0.08,0.685980106561964,0.8,0.3
0.02,0.08,0.685980106561964,0.8,0.3
0.04,0.08,0.685980106561964,0.8,0.3
0.06,0.08,0.685980106561964,0.8,0.3
0.08,0.08,0.685980106561964,0.8,0.3
0.1,0.08,0.685980106561964,0.8,0.3
0.12,0.08,0.685980106561964,0.8,0.3
0.14,0.08,0.685980106561964,0.8,0.3
0.16,0.08,0.685980106561964,0.8,0.3
0.18,0.08,0.685980106561964,0.8,0.3
0.2,0.08,0.685980106561964,0.8,0.3
0.22,0.08,0.685980106561964,0.8,0.3
0.24,0.08,0.685980106561964,0.8,0.3
0.26,0.08,0.685980106561964,0.8,0.3
0.28,0.08,0.685980106561964,0.8,0.3
0.3,0.08,0.685980106561964,0.8,0.3
0.32,0.08,0.685980106561964,0.8,0.3
0.34,0.08,0.685980106561964,0.8,0.3
0.36,0.08,0.685980106561964,0.8,0.3
0.38,0.08,0.685980106561964,0.8,0.3
0.4,0.08,0.685980106561964,0.8,0.3
0.42,0.08,0.685980106561964,0.8,0.3
0.44,0.08,0.685980106561964,0.8,0.3
0.46,0.08,0.685980106561964,0.8,0.3
0.48,0.08,0.685980106561964,0.8,0.3
0.5,0.08,0.685980106561964,0.8,0.3
0.52,0.08,0.685980106561964,0.8,0.3
0.54,0.08,0.685980106561964,0.8,0.3
0.56,0.08,0.685980106561964,0.8,0.3
0.58,0.08,0.685980106561964,0.8,0.3
0.6,0.08,0.685980106561964,0.8,0.3
0.62,0.08,0.685980106561964,0.8,0.3
0.64,0.08,0.685980106561964,0.8,0.3
0.66,0.08,0.685980106561964,0.8,0.3
0.68,0.08,0.685980106561964,0.8,0.3
0.7,0.08,0.685980106561964,0.8,0.3
0.72,0.08,0.685980106561964,0.8,0.3
0.74,0.08,0.68598010656197,0.8,0.3
0.76,0.08,0.68598010656197,0.8,0.3
0.78,0.08,0.68598010656197,0.8,0.3
0.8,0.08,0.68598010656197,0.8,0.3
0.82,0.08,0.68598010656197,0.8,0.3
0.84,0.08,0.68598010656197,0.8,0.3
0,0.1,0.684452531170587,0.8,0.3
0.02,0.1,0.684452531170587,0.8,0.3
0.04,0.1,0.684452531170587,0.8,0.3
0.06,0.1,0.684452531170587,0.8,0.3
0.08,0.1,0.684452531170587,0.8,0.3
0.1,0.1,0.684452531170587,0.8,0.3
0.12,0.1,0.684452531170587,0.8,0.3
0.14,0.1,0.684452531170587,0.8,0.3
0.16,0.1,0.684452531170587,0.8,0.3
0.18,0.1,0.684452531170587,0.8,0.3
0.2,0.1,0.684452531170587,0.8,0.3
0.22,0.1,0.684452531170587,0.8,0.3
0.24,0.1,0.684452531170587,0.8,0.3
0.26,0.1,0.684452531170587,0.8,0.3
0.28,0.1,0.684452531170587,0.8,0.3
0.3,0.1,0.684452531170587,0.8,0.3
0.32,0.1,0.684452531170587,0.8,0.3
0.34,0.1,0.684452531170587,0.8,0.3
0.36,0.1,0.684452531170587,0.8,0.3
0.38,0.1,0.684452531170587,0.8,0.3
0.4,0.1,0.684452531170587,0.8,0.3
0.42,0.1,0.684452531170587,0.8,0.3
0.44,0.1,0.684452531170587,0.8,0.3
0.46,0.1,0.684452531170587,0.8,0.3
0.48,0.1,0.684452531170587,0.8,0.3
0.5,0.1,0.684452531170587,0.8,0.3
0.52,0.1,0.684452531170587,0.8,0.3
0.54,0.1,0.684452531170587,0.8,0.3
0.56,0.1,0.684452531170587,0.8,0.3
0.58,0.1,0.684452531170587,0.8,0.3
0.6,0.1,0.684452531170587,0.8,0.3
0.62,0.1,0.684452531170587,0.8,0.3
0.64,0.1,0.684452531170587,0.8,0.3
0.66,0.1,0.684452531170587,0.8,0.3
0.68,0.1,0.684452531170587,0.8,0.3
0.7,0.1,0.684452531170587,0.8,0.3
0.72,0.1,0.684452531170587,0.8,0.3
0.74,0.1,0.684452531170593,0.8,0.3
0.76,0.1,0.684452531170593,0.8,0.3
0.78,0.1,0.684452531170593,0.8,0.3
0.8,0.1,0.684452531170593,0.8,0.3
0.82,0.1,0.684452531170593,0.8,0.3
0.84,0.1,0.684452531170593,0.8,0.3
0,0.12,0.682812291256068,0.8,0.3
0.02,0.12,0.682812291256068,0.8,0.3
0.04,0.12,0.682812291256068,0.8,0.3
0.06,0.12,0.682812291256068,0.8,0.3
0.08,0.12,0.682812291256068,0.8,0.3
0.1,0.12,0.682812291256068,0.8,0.3
0.12,0.12,0.682812291256068,0.8,0.3
0.14,0.12,0.682812291256068,0.8,0.3
0.16,0.12,0.682812291256068,0.8,0.3
0.18,0.12,0.682812291256068,0.8,0.3
0.2,0.12,0.682812291256068,0.8,0.3
0.22,0.12,0.682812291256068,0.8,0.3
0.24,0.12,0.682812291256068,0.8,0.3
0.26,0.12,0.682812291256068,0.8,0.3
0.28,0.12,0.682812291256068,0.8,0.3
0.3,0.12,0.682812291256068,0.8,0.3
0.32,0.12,0.682812291256068,0.8,0.3
0.34,0.12,0.682812291256068,0.8,0.3
0.36,0.12,0.682812291256068,0.8,0.3
0.38,0.12,0.682812291256068,0.8,0.3
0.4,0.12,0.682812291256068,0.8,0.3
0.42,0.12,0.682812291256068,0.8,0.3
0.44,0.12,0.682812291256068,0.8,0.3
0.46,0.12,0.682812291256068,0.8,0.3
0.48,0.12,0.682812291256068,0.8,0.3
0.5,0.12,0.682812291256068,0.8,0.3
0.52,0.12,0.682812291256068,0.8,0.3
0.54,0.12,0.682812291256068,0.8,0.3
0.56,0.12,0.682812291256068,0.8,0.3
0.58,0.12,0.682812291256068,0.8,0.3
0.6,0.12,0.682812291256068,0.8,0.3
0.62,0.12,0.682812291256068,0.8,0.3
0.64,0.12,0.682812291256068,0.8,0.3
0.66,0.12,0.682812291256068,0.8,0.3
0.68,0.12,0.682812291256068,0.8,0.3
0.7,0.12,0.682812291256068,0.8,0.3
0.72,0.12,0.682812291256068,0.8,0.3
0.74,0.12,0.682812291256074,0.8,0.3
0.76,0.12,0.682812291256074,0.8,0.3
0.78,0.12,0.682812291256074,0.8,0.3
0.8,0.12,0.682812291256074,0.8,0.3
0.82,0.12,0.682812291256074,0.8,0.3
0.84,0.12,0.682812291256074,0.8,0.3
0,0.14,0.681046371829158,0.8,0.3
0.02,0.14,0.681046371829158,0.8,0.3
0.04,0.14,0.681046371829158,0.8,0.3
0.06,0.14,0.681046371829158,0.8,0.3
0.08,0.14,0.681046371829158,0.8,0.3
0.1,0.14,0.681046371829158,0.8,0.3
0.12,0.14,0.681046371829158,0.8,0.3
0.14,0.14,0.681046371829158,0.8,0.3
0.16,0.14,0.681046371829158,0.8,0.3
0.18,0.14,0.681046371829158,0.8,0.3
0.2,0.14,0.681046371829158,0.8,0.3
0.22,0.14,0.681046371829158,0.8,0.3
0.24,0.14,0.681046371829158,0.8,0.3
0.26,0.14,0.681046371829158,0.8,0.3
0.28,0.14,0.681046371829158,0.8,0.3
0.3,0.14,0.681046371829158,0.8,0.3
0.32,0.14,0.681046371829158,0.8,0.3
0.34,0.14,0.681046371829158,0.8,0.3
0.36,0.14,0.681046371829158,0.8,0.3
0.38,0.14,0.681046371829158,0.8,0.3
0.4,0.14,0.681046371829158,0.8,0.3
0.42,0.14,0.681046371829158,0.8,0.3
0.44,0.14,0.681046371829158,0.8,0.3
0.46,0.14,0.681046371829158,0.8,0.3
0.48,0.14,0.681046371829158,0.8,0.3
0.5,0.14,0.681046371829158,0.8,0.3
0.52,0.14,0.681046371829158,0.8,0.3
0.54,0.14,0.681046371829158,0.8,0.3
0.56,0.14,0.681046371829158,0.8,0.3
0.58,0.14,0.681046371829158,0.8,0.3
0.6,0.14,0.681046371829158,0.8,0.3
0.62,0.14,0.681046371829158,0.8,0.3
0.64,0.14,0.681046371829158,0.8,0.3
0.66,0.14,0.681046371829158,0.8,0.3
0.68,0.14,0.681046371829158,0.8,0.3
0.7,0.14,0.681046371829158,0.8,0.3
0.72,0.14,0.681046371829158,0.8,0.3
0.74,0.14,0.681046371829164,0.8,0.3
0.76,0.14,0.681046371829164,0.8,0.3
0.78,0.14,0.681046371829164,0.8,0.3
0.8,0.14,0.681046371829164,0.8,0.3
0.82,0.14,0.681046371829164,0.8,0.3
0.84,0.14,0.681046371829164,0.8,0.3
0,0.16,0.679139644243547,0.8,0.3
0.02,0.16,0.679139644243547,0.8,0.3
0.04,0.16,0.679139644243547,0.8,0.3
0.06,0.16,0.679139644243547,0.8,0.3
0.08,0.16,0.679139644243547,0.8,0.3
0.1,0.16,0.679139644243547,0.8,0.3
0.12,0.16,0.679139644243547,0.8,0.3
0.14,0.16,0.679139644243547,0.8,0.3
0.16,0.16,0.679139644243547,0.8,0.3
0.18,0.16,0.679139644243547,0.8,0.3
0.2,0.16,0.679139644243547,0.8,0.3
0.22,0.16,0.679139644243547,0.8,0.3
0.24,0.16,0.679139644243547,0.8,0.3
0.26,0.16,0.679139644243547,0.8,0.3
0.28,0.16,0.679139644243547,0.8,0.3
0.3,0.16,0.679139644243547,0.8,0.3
0.32,0.16,0.679139644243547,0.8,0.3
0.34,0.16,0.679139644243547,0.8,0.3
0.36,0.16,0.679139644243547,0.8,0.3
0.38,0.16,0.679139644243547,0.8,0.3
0.4,0.16,0.679139644243547,0.8,0.3
0.42,0.16,0.679139644243547,0.8,0.3
0.44,0.16,0.679139644243547,0.8,0.3
0.46,0.16,0.679139644243547,0.8,0.3
0.48,0.16,0.679139644243547,0.8,0.3
0.5,0.16,0.679139644243547,0.8,0.3
0.52,0.16,0.679139644243547,0.8,0.3
0.54,0.16,0.679139644243547,0.8,0.3
0.56,0.16,0.679139644243547,0.8,0.3
0.58,0.16,0.679139644243547,0.8,0.3
0.6,0.16,0.679139644243547,0.8,0.3
0.62,0.16,0.679139644243547,0.8,0.3
0.64,0.16,0.679139644243547,0.8,0.3
0.66,0.16,0.679139644243547,0.8,0.3
0.68,0.16,0.679139644243547,0.8,0.3
0.7,0.16,0.679139644243547,0.8,0.3
0.72,0.16,0.679139644243547,0.8,0.3
0.74,0.16,0.679139644243553,0.8,0.3
0.76,0.16,0.679139644243553,0.8,0.3
0.78,0.16,0.679139644243553,0.8,0.3
0.8,0.16,0.679139644243553,0.8,0.3
0.82,0.16,0.679139644243553,0.8,0.3
0.84,0.16,0.679139644243553,0.8,0.3
0,0.18,0.67707441017303,0.8,0.3
0.02,0.18,0.67707441017303,0.8,0.3
0.04,0.18,0.67707441017303,0.8,0.3
0.06,0.18,0.67707441017303,0.8,0.3
0.08,0.18,0.67707441017303,0.8,0.3
0.1,0.18,0.67707441017303,0.8,0.3
0.12,0.18,0.67707441017303,0.8,0.3
0.14,0.18,0.67707441017303,0.8,0.3
0.16,0.18,0.67707441017303,0.8,0.3
0.18,0.18,0.67707441017303,0.8,0.3
0.2,0.18,0.67707441017303,0.8,0.3
0.22,0.18,0.67707441017303,0.8,0.3
0.24,0.18,0.67707441017303,0.8,0.3
0.26,0.18,0.67707441017303,0.8,0.3
0.28,0.18,0.67707441017303,0.8,0.3
0.3,0.18,0.67707441017303,0.8,0.3
0.32,0.18,0.67707441017303,0.8,0.3
0.34,0.18,0.67707441017303,0.8,0.3
0.36,0.18,0.67707441017303,0.8,0.3
0.38,0.18,0.67707441017303,0.8,0.3
0.4,0.18,0.67707441017303,0.8,0.3
0.42,0.18,0.67707441017303,0.8,0.3
0.44,0.18,0.67707441017303,0.8,0.3
0.46,0.18,0.67707441017303,0.8,0.3
0.48,0.18,0.67707441017303,0.8,0.3
0.5,0.18,0.67707441017303,0.8,0.3
0.52,0.18,0.67707441017303,0.8,0.3
0.54,0.18,0.67707441017303,0.8,0.3
0.56,0.18,0.67707441017303,0.8,0.3
0.58,0.18,0.67707441017303,0.8,0.3
0.6,0.18,0.67707441017303,0.8,0.3
0.62,0.18,0.67707441017303,0.8,0.3
0.64,0.18,0.67707441017303,0.8,0.3
0.66,0.18,0.67707441017303,0.8,0.3
0.68,0.18,0.67707441017303,0.8,0.3
0.7,0.18,0.67707441017303,0.8,0.3
0.72,0.18,0.677074410173036,0.8,0.3
0.74,0.18,0.677074410173036,0.8,0.3
0.76,0.18,0.677074410173036,0.8,0.3
0.78,0.18,0.677074410173036,0.8,0.3
0.8,0.18,0.677074410173036,0.8,0.3
0.82,0.18,0.677074410173036,0.8,0.3
0.84,0.18,0.677074410173036,0.8,0.3
0,0.2,0.674829819290551,0.8,0.3
0.02,0.2,0.674829819290551,0.8,0.3
0.04,0.2,0.674829819290551,0.8,0.3
0.06,0.2,0.674829819290551,0.8,0.3
0.08,0.2,0.674829819290551,0.8,0.3
0.1,0.2,0.674829819290551,0.8,0.3
0.12,0.2,0.674829819290551,0.8,0.3
0.14,0.2,0.674829819290551,0.8,0.3
0.16,0.2,0.674829819290551,0.8,0.3
0.18,0.2,0.674829819290551,0.8,0.3
0.2,0.2,0.674829819290551,0.8,0.3
0.22,0.2,0.674829819290551,0.8,0.3
0.24,0.2,0.674829819290551,0.8,0.3
0.26,0.2,0.674829819290551,0.8,0.3
0.28,0.2,0.674829819290551,0.8,0.3
0.3,0.2,0.674829819290551,0.8,0.3
0.32,0.2,0.674829819290551,0.8,0.3
0.34,0.2,0.674829819290551,0.8,0.3
0.36,0.2,0.674829819290551,0.8,0.3
0.38,0.2,0.674829819290551,0.8,0.3
0.4,0.2,0.674829819290551,0.8,0.3
0.42,0.2,0.674829819290551,0.8,0.3
0.44,0.2,0.674829819290551,0.8,0.3
0.46,0.2,0.674829819290551,0.8,0.3
0.48,0.2,0.674829819290551,0.8,0.3
0.5,0.2,0.674829819290551,0.8,0.3
0.52,0.2,0.674829819290551,0.8,0.3
0.54,0.2,0.674829819290551,0.8,0.3
0.56,0.2,0.674829819290551,0.8,0.3
0.58,0.2,0.674829819290551,0.8,0.3
0.6,0.2,0.674829819290551,0.8,0.3
0.62,0.2,0.674829819290551,0.8,0.3
0.64,0.2,0.674829819290551,0.8,0.3
0.66,0.2,0.674829819290551,0.8,0.3
0.68,0.2,0.674829819290551,0.8,0.3
0.7,0.2,0.674829819290551,0.8,0.3
0.72,0.2,0.674829819290558,0.8,0.3
0.74,0.2,0.674829819290558,0.8,0.3
0.76,0.2,0.674829819290558,0.8,0.3
0.78,0.2,0.674829819290558,0.8,0.3
0.8,0.2,0.674829819290558,0.8,0.3
0.82,0.2,0.674829819290558,0.8,0.3
0.84,0.2,0.674829819290558,0.8,0.3
0,0.22,0.672381116763126,0.8,0.3
0.02,0.22,0.672381116763126,0.8,0.3
0.04,0.22,0.672381116763126,0.8,0.3
0.06,0.22,0.672381116763126,0.8,0.3
0.08,0.22,0.672381116763126,0.8,0.3
0.1,0.22,0.672381116763126,0.8,0.3
0.12,0.22,0.672381116763126,0.8,0.3
0.14,0.22,0.672381116763126,0.8,0.3
0.16,0.22,0.672381116763126,0.8,0.3
0.18,0.22,0.672381116763126,0.8,0.3
0.2,0.22,0.672381116763126,0.8,0.3
0.22,0.22,0.672381116763126,0.8,0.3
0.24,0.22,0.672381116763126,0.8,0.3
0.26,0.22,0.672381116763126,0.8,0.3
0.28,0.22,0.672381116763126,0.8,0.3
0.3,0.22,0.672381116763126,0.8,0.3
0.32,0.22,0.672381116763126,0.8,0.3
0.34,0.22,0.672381116763126,0.8,0.3
0.36,0.22,0.672381116763126,0.8,0.3
0.38,0.22,0.672381116763126,0.8,0.3
0.4,0.22,0.672381116763126,0.8,0.3
0.42,0.22,0.672381116763126,0.8,0.3
0.44,0.22,0.672381116763126,0.8,0.3
0.46,0.22,0.672381116763126,0.8,0.3
0.48,0.22,0.672381116763126,0.8,0.3
0.5,0.22,0.672381116763126,0.8,0.3
0.52,0.22,0.672381116763126,0.8,0.3
0.54,0.22,0.672381116763126,0.8,0.3
0.56,0.22,0.672381116763126,0.8,0.3
0.58,0.22,0.672381116763126,0.8,0.3
0.6,0.22,0.672381116763126,0.8,0.3
0.62,0.22,0.672381116763126,0.8,0.3
0.64,0.22,0.672381116763126,0.8,0.3
0.66,0.22,0.672381116763126,0.8,0.3
0.68,0.22,0.672381116763126,0.8,0.3
0.7,0.22,0.672381116763126,0.8,0.3
0.72,0.22,0.672381116763133,0.8,0.3
0.74,0.22,0.672381116763133,0.8,0.3
0.76,0.22,0.672381116763133,0.8,0.3
0.78,0.22,0.672381116763133,0.8,0.3
0.8,0.22,0.672381116763133,0.8,0.3
0.82,0.22,0.672381116763133,0.8,0.3
0.84,0.22,0.672381116763133,0.8,0.3
0,0.24,0.669698657852446,0.8,0.3
0.02,0.24,0.669698657852446,0.8,0.3
0.04,0.24,0.669698657852446,0.8,0.3
0.06,0.24,0.669698657852446,0.8,0.3
0.08,0.24,0.669698657852446,0.8,0.3
0.1,0.24,0.669698657852446,0.8,0.3
0.12,0.24,0.669698657852446,0.8,0.3
0.14,0.24,0.669698657852446,0.8,0.3
0.16,0.24,0.669698657852446,0.8,0.3
0.18,0.24,0.669698657852446,0.8,0.3
0.2,0.24,0.669698657852446,0.8,0.3
0.22,0.24,0.669698657852446,0.8,0.3
0.24,0.24,0.669698657852446,0.8,0.3
0.26,0.24,0.669698657852446,0.8,0.3
0.28,0.24,0.669698657852446,0.8,0.3
0.3,0.24,0.669698657852446,0.8,0.3
0.32,0.24,0.669698657852446,0.8,0.3
0.34,0.24,0.669698657852446,0.8,0.3
0.36,0.24,0.669698657852446,0.8,0.3
0.38,0.24,0.669698657852446,0.8,0.3
0.4,0.24,0.669698657852446,0.8,0.3
0.42,0.24,0.669698657852446,0.8,0.3
0.44,0.24,0.669698657852446,0.8,0.3
0.46,0.24,0.669698657852446,0.8,0.3
0.48,0.24,0.669698657852446,0.8,0.3
0.5,0.24,0.669698657852446,0.8,0.3
0.52,0.24,0.669698657852446,0.8,0.3
0.54,0.24,0.669698657852446,0.8,0.3
0.56,0.24,0.669698657852446,0.8,0.3
0.58,0.24,0.669698657852446,0.8,0.3
0.6,0.24,0.669698657852446,0.8,0.3
0.62,0.24,0.669698657852446,0.8,0.3
0.64,0.24,0.669698657852446,0.8,0.3
0.66,0.24,0.669698657852446,0.8,0.3
0.68,0.24,0.669698657852446,0.8,0.3
0.7,0.24,0.669698657852446,0.8,0.3
0.72,0.24,0.669698657852453,0.8,0.3
0.74,0.24,0.669698657852453,0.8,0.3
0.76,0.24,0.669698657852453,0.8,0.3
0.78,0.24,0.669698657852453,0.8,0.3
0.8,0.24,0.669698657852453,0.8,0.3
0.82,0.24,0.669698657852453,0.8,0.3
0.84,0.24,0.669698657852453,0.8,0.3
0,0.26,0.666746598237848,0.8,0.3
0.02,0.26,0.666746598237848,0.8,0.3
0.04,0.26,0.666746598237848,0.8,0.3
0.06,0.26,0.666746598237848,0.8,0.3
0.08,0.26,0.666746598237848,0.8,0.3
0.1,0.26,0.666746598237848,0.8,0.3
0.12,0.26,0.666746598237848,0.8,0.3
0.14,0.26,0.666746598237848,0.8,0.3
0.16,0.26,0.666746598237848,0.8,0.3
0.18,0.26,0.666746598237848,0.8,0.3
0.2,0.26,0.666746598237848,0.8,0.3
0.22,0.26,0.666746598237848,0.8,0.3
0.24,0.26,0.666746598237848,0.8,0.3
0.26,0.26,0.666746598237848,0.8,0.3
0.28,0.26,0.666746598237848,0.8,0.3
0.3,0.26,0.666746598237848,0.8,0.3
0.32,0.26,0.666746598237848,0.8,0.3
0.34,0.26,0.666746598237848,0.8,0.3
0.36,0.26,0.666746598237848,0.8,0.3
0.38,0.26,0.666746598237848,0.8,0.3
0.4,0.26,0.666746598237848,0.8,0.3
0.42,0.26,0.666746598237848,0.8,0.3
0.44,0.26,0.666746598237848,0.8,0.3
0.46,0.26,0.666746598237848,0.8,0.3
0.48,0.26,0.666746598237848,0.8,0.3
0.5,0.26,0.666746598237848,0.8,0.3
0.52,0.26,0.666746598237848,0.8,0.3
0.54,0.26,0.666746598237848,0.8,0.3
0.56,0.26,0.666746598237848,0.8,0.3
0.58,0.26,0.666746598237848,0.8,0.3
0.6,0.26,0.666746598237848,0.8,0.3
0.62,0.26,0.666746598237848,0.8,0.3
0.64,0.26,0.666746598237848,0.8,0.3
0.66,0.26,0.666746598237848,0.8,0.3
0.68,0.26,0.666746598237848,0.8,0.3
0.7,0.26,0.666746598237848,0.8,0.3
0.72,0.26,0.666746598237854,0.8,0.3
0.74,0.26,0.666746598237854,0.8,0.3
0.76,0.26,0.666746598237854,0.8,0.3
0.78,0.26,0.666746598237854,0.8,0.3
0.8,0.26,0.666746598237854,0.8,0.3
0.82,0.26,0.666746598237854,0.8,0.3
0.84,0.26,0.666746598237854,0.8,0.3
0,0.28,0.663481123924381,0.8,0.3
0.02,0.28,0.663481123924381,0.8,0.3
0.04,0.28,0.663481123924381,0.8,0.3
0.06,0.28,0.663481123924381,0.8,0.3
0.08,0.28,0.663481123924381,0.8,0.3
0.1,0.28,0.663481123924381,0.8,0.3
0.12,0.28,0.663481123924381,0.8,0.3
0.14,0.28,0.663481123924381,0.8,0.3
0.16,0.28,0.663481123924381,0.8,0.3
0.18,0.28,0.663481123924381,0.8,0.3
0.2,0.28,0.663481123924381,0.8,0.3
0.22,0.28,0.663481123924381,0.8,0.3
0.24,0.28,0.663481123924381,0.8,0.3
0.26,0.28,0.663481123924381,0.8,0.3
0.28,0.28,0.663481123924381,0.8,0.3
0.3,0.28,0.663481123924381,0.8,0.3
0.32,0.28,0.663481123924381,0.8,0.3
0.34,0.28,0.663481123924381,0.8,0.3
0.36,0.28,0.663481123924381,0.8,0.3
0.38,0.28,0.663481123924381,0.8,0.3
0.4,0.28,0.663481123924381,0.8,0.3
0.42,0.28,0.663481123924381,0.8,0.3
0.44,0.28,0.663481123924381,0.8,0.3
0.46,0.28,0.663481123924381,0.8,0.3
0.48,0.28,0.663481123924381,0.8,0.3
0.5,0.28,0.663481123924381,0.8,0.3
0.52,0.28,0.663481123924381,0.8,0.3
0.54,0.28,0.663481123924381,0.8,0.3
0.56,0.28,0.663481123924381,0.8,0.3
0.58,0.28,0.663481123924381,0.8,0.3
0.6,0.28,0.663481123924381,0.8,0.3
0.62,0.28,0.663481123924381,0.8,0.3
0.64,0.28,0.663481123924381,0.8,0.3
0.66,0.28,0.663481123924381,0.8,0.3
0.68,0.28,0.663481123924381,0.8,0.3
0.7,0.28,0.663481123924381,0.8,0.3
0.72,0.28,0.663481123924388,0.8,0.3
0.74,0.28,0.663481123924388,0.8,0.3
0.76,0.28,0.663481123924388,0.8,0.3
0.78,0.28,0.663481123924388,0.8,0.3
0.8,0.28,0.663481123924388,0.8,0.3
0.82,0.28,0.663481123924388,0.8,0.3
0.84,0.28,0.663481123924388,0.8,0.3
0,0.3,0.659848012792286,0.8,0.3
0.02,0.3,0.659848012792286,0.8,0.3
0.04,0.3,0.659848012792286,0.8,0.3
0.06,0.3,0.659848012792286,0.8,0.3
0.08,0.3,0.659848012792286,0.8,0.3
0.1,0.3,0.659848012792286,0.8,0.3
0.12,0.3,0.659848012792286,0.8,0.3
0.14,0.3,0.659848012792286,0.8,0.3
0.16,0.3,0.659848012792286,0.8,0.3
0.18,0.3,0.659848012792286,0.8,0.3
0.2,0.3,0.659848012792286,0.8,0.3
0.22,0.3,0.659848012792286,0.8,0.3
0.24,0.3,0.659848012792286,0.8,0.3
0.26,0.3,0.659848012792286,0.8,0.3
0.28,0.3,0.659848012792286,0.8,0.3
0.3,0.3,0.659848012792286,0.8,0.3
0.32,0.3,0.659848012792286,0.8,0.3
0.34,0.3,0.659848012792286,0.8,0.3
0.36,0.3,0.659848012792286,0.8,0.3
0.38,0.3,0.659848012792286,0.8,0.3
0.4,0.3,0.659848012792286,0.8,0.3
0.42,0.3,0.659848012792286,0.8,0.3
0.44,0.3,0.659848012792286,0.8,0.3
0.46,0.3,0.659848012792286,0.8,0.3
0.48,0.3,0.659848012792286,0.8,0.3
0.5,0.3,0.659848012792286,0.8,0.3
0.52,0.3,0.659848012792286,0.8,0.3
0.54,0.3,0.659848012792286,0.8,0.3
0.56,0.3,0.659848012792286,0.8,0.3
0.58,0.3,0.659848012792286,0.8,0.3
0.6,0.3,0.659848012792286,0.8,0.3
0.62,0.3,0.659848012792286,0.8,0.3
0.64,0.3,0.659848012792286,0.8,0.3
0.66,0.3,0.659848012792286,0.8,0.3
0.68,0.3,0.659848012792286,0.8,0.3
0.7,0.3,0.659848012792293,0.8,0.3
0.72,0.3,0.659848012792293,0.8,0.3
0.74,0.3,0.659848012792293,0.8,0.3
0.76,0.3,0.659848012792293,0.8,0.3
0.78,0.3,0.659848012792293,0.8,0.3
0.8,0.3,0.659848012792293,0.8,0.3
0.82,0.3,0.659848012792293,0.8,0.3
0.84,0.3,0.659848012792293,0.8,0.3
0,0.32,0.655779200952755,0.8,0.3
0.02,0.32,0.655779200952755,0.8,0.3
0.04,0.32,0.655779200952755,0.8,0.3
